Lewisville,TX,Lewisville TX,104659,33.0306,-96.9926,75067
Burbank,CA,Burbank CA,104447,33.7866,-118.2987,91521
Greeley,CO,Greeley CO,103990,40.3996,-104.8002,80634
San Mateo,CA,San Mateo CA,103959,37.555,-122.2687,94404
El Cajon,CA,El Cajon CA,103768,32.7952,-116.9671,92020
Rialto,CA,Rialto CA,103314,34.102,-117.3868,92376
Davenport,IA,Davenport IA,102612,41.5798,-90.625,52806
League City,TX,League City TX,102010,29.5075,-95.0895,77573
Davie,FL,Davie FL,101871,26.0629,-80.2331,
Las Cruces,NM,Las Cruces NM,101759,32.3047,-106.6417,88011
South Bend,IN,South Bend IN,101735,41.6834,-86.25,46634
Vista,CA,Vista CA,101659,33.182,-117.2468,92083
Renton,WA,Renton WA,100953,47.4637,-122.2135,98055
San Angelo,TX,San Angelo TX,100702,31.5468,-100.561,76901
Roanoke,VA,Roanoke VA,99660,37.2177,-79.921,24014
Kenosha,WI,Kenosha WI,99631,42.6227,-87.9377,53144
Tuscaloosa,AL,Tuscaloosa AL,99543,33.3323,-87.4741,35406
Allen,TX,Allen TX,99179,33.1122,-96.6938,75013
Erie,PA,Erie PA,98593,42.0577,-80.0434,16509
Sparks,NV,Sparks NV,98345,39.5398,-119.7386,89431
Vacaville,CA,Vacaville CA,98303,38.4166,-122.0101,95688
Albany,NY,Albany NY,98111,42.6849,-73.8318,12203
Beaverton,OR,Beaverton OR,97590,45.5222,-122.8593,97006
Compton,CA,Compton CA,97550,33.8748,-118.2406,90220
Orem,UT,Orem UT,97499,40.2969,-111.6946,84057
Flint,MI,Flint MI,97386,43.0138,-83.6883,48502
Federal Way,WA,Federal Way WA,96757,47.3078,-122.3177,98003
Mission Viejo,CA,Mission Viejo CA,96396,33.6054,-117.6675,92691
Spokane,WA,Spokane WA,96340,47.6567,-117.3785,99202
Boca Raton,FL,Boca Raton FL,96114,26.4095,-80.0942,33487
Lee's Summit,MO,Lee's Summit MO,96076,38.9108,-94.3822,
Rio Rancho,NM,Rio Rancho NM,96028,35.2467,-106.7232,87124
Sandy,UT,Sandy UT,95836,40.5765,-111.8938,84070
Brockton,MA,Brockton MA,95630,42.0858,-70.9999,2302
Meridian,ID,Meridian ID,95623,43.5992,-116.4234,83642
South Gate,CA,South Gate CA,95538,33.9485,-118.2017,90280
